|	n  |	Bubble Sort Time (ms)	| Insertion Sort Time (ms)	| Quick Sort Time (ms)	|
|	500| 		 	9	|  	4	| 		 	0	|
|	1000| 		 	17	|  	2	| 		 	1	|
|	1500| 		 	25	|  	4	| 		 	1	|
|	2000| 		 	45	|  	8	| 		 	0	|
|	2500| 		 	72	|  	12	| 		 	0	|
|	3000| 		 	102	|  	24	| 		 	0	|
|	3500| 		 	141	|  	29	| 		 	0	|
|	4000| 		 	189	|  	38	| 		 	0	|
|	4500| 		 	241	|  	48	| 		 	1	|
|	5000| 		 	306	|  	60	| 		 	1	|
|	5500| 		 	404	|  	73	| 		 	1	|
|	6000| 		 	475	|  	89	| 		 	1	|
|	6500| 		 	593	|  	106	| 		 	2	|
|	7000| 		 	695	|  	125	| 		 	1	|
|	7500| 		 	789	|  	144	| 		 	2	|
|	8000| 		 	1117	|  	189	| 		 	2	|
|	8500| 		 	1523	|  	261	| 		 	2	|
|	9000| 		 	1129	|  	211	| 		 	2	|
|	9500| 		 	1286	|  	239	| 		 	3	|
|	10000| 		 	1421	|  	267	| 		 	2	|
|	10500| 		 	1542	|  	294	| 		 	2	|
|	11000| 		 	1701	|  	324	| 		 	2	|
|	11500| 		 	1878	|  	356	| 		 	2	|
|	12000| 		 	2034	|  	383	| 		 	2	|
|	12500| 		 	2269	|  	417	| 		 	2	|
|	13000| 		 	2488	|  	464	| 		 	3	|
|	13500| 		 	2659	|  	499	| 		 	3	|
|	14000| 		 	2836	|  	534	| 		 	4	|
|	14500| 		 	3039	|  	563	| 		 	4	|
|	15000| 		 	4600	|  	765	| 		 	3	|
|	15500| 		 	4484	|  	734	| 		 	4	|
|	16000| 		 	4032	|  	759	| 		 	4	|
|	16500| 		 	2691	|  	779	| 		 	4	|
|	17000| 		 	4360	|  	838	| 		 	4	|
|	17500| 		 	4613	|  	845	| 		 	4	|
|	18000| 		 	4926	|  	898	| 		 	6	|
|	18500| 		 	5033	|  	938	| 		 	7	|
|	19000| 		 	5400	|  	1018	| 		 	7	|
|	19500| 		 	5764	|  	1057	| 		 	8	|
|	20000| 		 	6004	|  	1099	| 		 	8	|
|	20500| 		 	6407	|  	1162	| 		 	7	|
|	21000| 		 	6686	|  	1237	| 		 	7	|
|	21500| 		 	6847	|  	1298	| 		 	8	|
|	22000| 		 	7330	|  	1376	| 		 	9	|
|	22500| 		 	7680	|  	1438	| 		 	9	|
|	23000| 		 	8036	|  	1462	| 		 	11	|
|	23500| 		 	8468	|  	1544	| 		 	10	|
|	24000| 		 	14749	|  	2603	| 		 	10	|
|	24500| 		 	8946	|  	1752	| 		 	10	|
|	25000| 		 	9687	|  	1756	| 		 	9	|
|	25500| 		 	9620	|  	1821	| 		 	10	|
|	26000| 		 	18033	|  	3025	| 		 	11	|
|	26500| 		 	10580	|  	1975	| 		 	12	|
|	27000| 		 	10771	|  	2041	| 		 	10	|
|	27500| 		 	11155	|  	2106	| 		 	12	|
|	28000| 		 	11932	|  	2238	| 		 	14	|
|	28500| 		 	12489	|  	2279	| 		 	10	|
|	29000| 		 	12693	|  	2327	| 		 	8	|
|	29500| 		 	13221	|  	2416	| 		 	8	|
|	30000| 		 	13681	|  	2526	| 		 	7	|
|	30500| 		 	14204	|  	2586	| 		 	8	|
|	31000| 		 	14658	|  	2690	| 		 	9	|
|	31500| 		 	15226	|  	2761	| 		 	9	|
|	32000| 		 	15166	|  	2845	| 		 	8	|
|	32500| 		 	15978	|  	2952	| 		 	9	|
|	33000| 		 	16731	|  	3050	| 		 	9	|
|	33500| 		 	16839	|  	2813	| 		 	7	|
|	34000| 		 	22488	|  	4508	| 		 	9	|
|	34500| 		 	21691	|  	3811	| 		 	10	|
|	35000| 		 	21990	|  	3867	| 		 	9	|
|	35500| 		 	24761	|  	4106	| 		 	9	|
|	36000| 		 	38129	|  	7302	| 		 	11	|
|	36500| 		 	47415	|  	9971	| 		 	13	|
|	37000| 		 	47865	|  	9761	| 		 	12	|
|	37500| 		 	21554	|  	4108	| 		 	11	|
|	38000| 		 	22225	|  	4062	| 		 	10	|
|	38500| 		 	58515	|  	4125	| 		 	11	|
|	39000| 		 	22774	|  	4225	| 		 	11	|
|	39500| 		 	24103	|  	4399	| 		 	11	|
|	40000| 		 	24176	|  	4479	| 		 	11	|
|	40500| 		 	25510	|  	4699	| 		 	11	|
|	41000| 		 	25807	|  	4756	| 		 	11	|
|	41500| 		 	26268	|  	4809	| 		 	13	|
|	42000| 		 	34619	|  	6084	| 		 	12	|
|	42500| 		 	27650	|  	5048	| 		 	12	|
|	43000| 		 	28269	|  	5207	| 		 	12	|
|	43500| 		 	28870	|  	5339	| 		 	12	|
|	44000| 		 	29387	|  	5476	| 		 	12	|
|	44500| 		 	30544	|  	5526	| 		 	13	|
|	45000| 		 	31015	|  	5711	| 		 	13	|
|	45500| 		 	32651	|  	5850	| 		 	13	|
|	46000| 		 	33022	|  	6019	| 		 	13	|
|	46500| 		 	32502	|  	6043	| 		 	13	|
|	47000| 		 	35052	|  	6240	| 		 	13	|
|	47500| 		 	34327	|  	1500441	| 		 	15	|
|	48000| 		 	36430	|  	6642	| 		 	15	|
|	48500| 		 	43406	|  	7971	| 		 	15	|
|	49000| 		 	40344	|  	6891	| 		 	15	|
|	49500| 		 	39566	|  	6918	| 		 	15	|
|	50000| 		 	40071	|  	7133	| 		 	17	|
